****** TOP 19 POOLS FOR ETHEREUM ******
Pair: WSB/WETH	TVL: 4551	24h vol: 144142.51	Vitality: 31.67
Pair: TURBO/WETH	TVL: 1427604	24h vol: 29666203.8	Vitality: 20.78
Pair: $MONG/WETH	TVL: 44218	24h vol: 681199.26	Vitality: 15.41
Pair: BOB/WETH	TVL: 120208	24h vol: 1050836.64	Vitality: 8.74
Pair: pepecoin/WETH	TVL: 18139	24h vol: 135615.84	Vitality: 7.48
Pair: PEPE/WETH	TVL: 3707481	24h vol: 73639759.53	Vitality: 5.96
Pair: PC/WETH	TVL: 92501	24h vol: 399938.52	Vitality: 4.32
Pair: PEPE/WETH	TVL: 3133289	24h vol: 13112687.49	Vitality: 4.18
Pair: WOJAK/WETH	TVL: 560461	24h vol: 2322087.03	Vitality: 4.14
Pair: PLEB/WETH	TVL: 3853	24h vol: 13990.54	Vitality: 3.63
Pair: PEPE/USDC	TVL: 102102	24h vol: 354485.65	Vitality: 3.47
Pair: TRIBE/WETH	TVL: 25805	24h vol: 78287.18	Vitality: 3.03
Pair: GENSLR/WETH	TVL: 7414	24h vol: 13622.32	Vitality: 1.84
Pair: IZE/USDC	TVL: 299373	24h vol: 537255.01	Vitality: 1.79
Pair: WOJAK/PEPE	TVL: 16535	24h vol: 29029.69	Vitality: 1.76
Pair: CRETH2/WETH	TVL: 1806473	24h vol: 2801021.42	Vitality: 1.55
Pair: DXN/USDC	TVL: 6567	24h vol: 8898.76	Vitality: 1.36
Pair: XEN/WETH	TVL: 1988801	24h vol: 2604577.55	Vitality: 1.31
Pair: DXN/WETH	TVL: 388466	24h vol: 469136.91	Vitality: 1.21
****** TOP 19 POOLS FOR ARBITRUM ******
Pair: gmUSD/USDC	TVL: 13629.22	24h vol: 105758.77	Vitality: 7.76
Pair: AICODE/USDT	TVL: 10634.88	24h vol: 74138.41	Vitality: 6.97
Pair: CHR/WETH	TVL: 35122.02	24h vol: 212264.52	Vitality: 6.04
Pair: CHR/USDC	TVL: 27207.03	24h vol: 147598.83	Vitality: 5.43
Pair: AICODE/WETH	TVL: 37486.32	24h vol: 183960.87	Vitality: 4.91
Pair: pogai/USDT	TVL: 6955.4	24h vol: 33283.95	Vitality: 4.79
Pair: AISHIB/WETH	TVL: 4556.54	24h vol: 20119.03	Vitality: 1.32
Pair: GND/WETH	TVL: 11867.29	24h vol: 44014.46	Vitality: 1.11
Pair: SPA/WETH	TVL: 37258.07	24h vol: 28331.34	Vitality: 0.76
Pair: PSI/USDC	TVL: 32664.63	24h vol: 24029.68	Vitality: 0.74
Pair: GRAIN/WETH	TVL: 52654.23	24h vol: 37996.69	Vitality: 0.72
Pair: PENDLE/USDC	TVL: 3092.94	24h vol: 2055.76	Vitality: 0.66
Pair: GND/WETH	TVL: 1793495.64	24h vol: 997192.17	Vitality: 0.56
Pair: REKT/WETH	TVL: 169154.16	24h vol: 291574.94	Vitality: 0.52
Pair: STG/WETH	TVL: 154513.83	24h vol: 231624.48	Vitality: 0.45
